Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
22,1,0,0,4
22,1,1,0,4
22,1,2,0,4
22,1,3,0,4
22,1,4,0,4
22,1,5,0,4
22,1,6,0,4
22,1,7,0,4
22,1,8,0,4
22,1,9,0,4
22,1,10,0,4
22,1,11,0,4
22,1,12,0,4
22,1,13,0,4
22,1,14,0,4
22,1,15,0,4
22,1,16,0,4
22,1,17,0,4
22,1,18,0,4
22,1,19,0,4
22,1,20,0,4
22,1,21,0,4
22,1,22,0,4
22,1,23,0,4
22,1,24,0,4
22,1,25,0,4
22,1,26,4,4
22,1,27,0,4
22,1,28,0,4
22,1,29,0,4
22,1,30,0,4
22,1,31,0,4
22,1,32,0,4
22,1,33,0,4
22,1,34,0,4
22,1,35,0,4
22,1,36,0,4
22,1,37,0,4
22,1,38,0,4
22,1,39,0,4
22,1,40,0,4
22,1,41,0,4
22,1,42,0,4
22,1,43,0,4
22,1,44,0,4
22,1,45,0,4
22,1,46,0,4
22,1,47,0,4
22,1,48,0,4
22,1,49,0,4
22,1,50,0,4
22,1,51,0,4
22,1,52,0,4
22,1,53,0,4
22,1,54,0,4
22,1,55,0,4
22,1,56,0,4
22,1,57,0,4
22,1,58,0,4
22,1,59,0,4
22,1,60,0,4
22,1,61,0,4
22,1,62,0,4
22,1,63,0,4
30,1,0,0,1
30,1,1,0,1
30,1,2,0,1
30,1,3,0,1
30,1,4,0,1
30,1,5,0,1
30,1,6,0,1
30,1,7,0,1
30,1,8,0,1
30,1,9,0,1
30,1,10,0,1
30,1,11,0,1
30,1,12,0,1
30,1,13,0,1
30,1,14,0,1
30,1,15,0,1
30,1,16,0,1
30,1,17,0,1
30,1,18,0,1
30,1,19,0,1
30,1,20,0,1
30,1,21,0,1
30,1,22,0,1
30,1,23,0,1
30,1,24,0,1
30,1,25,0,1
30,1,26,0,1
30,1,27,1,1
30,1,28,0,1
30,1,29,0,1
30,1,30,0,1
30,1,31,0,1
